Count;Date;Time;Sex;Age
1;2020-12-07;07:39;M;17
1;2020-12-07;07:41;M;47
1;2020-12-07;07:42;M;38
1;2020-12-07;07:42;M;30
1;2020-12-07;07:42;M;58
1;2020-12-07;07:45;M;17
1;2020-12-07;07:45;M;19
1;2020-12-07;07:48;M;29
1;2020-12-07;07:50;M;60
1;2020-12-07;07:56;M;19
1;2020-12-07;08:04;M;40
1;2020-12-07;08:05;M;15
1;2020-12-07;08:05;M;36
1;2020-12-07;08:08;M;34
1;2020-12-07;08:16;M;59
1;2020-12-07;09:06;M;35
1;2020-12-07;09:07;M;15
1;2020-12-07;09:07;M;46
1;2020-12-07;09:07;M;19
1;2020-12-07;09:08;M;32
1;2020-12-07;09:08;M;54
1;2020-12-07;09:08;M;20
1;2020-12-07;11:20;M;35
1;2020-12-07;11:30;M;33
1;2020-12-07;11:32;M;31
1;2020-12-07;11:34;M;59
1;2020-12-07;11:53;M;38
1;2020-12-07;11:54;M;33
1;2020-12-07;11:56;M;57
1;2020-12-07;11:58;M;39
1;2020-12-07;11:58;M;26
1;2020-12-07;12:05;M;16
1;2020-12-07;12:10;M;33
1;2020-12-07;12:10;M;21
1;2020-12-07;12:13;M;51
1;2020-12-07;12:17;M;45
1;2020-12-07;16:59;M;42
1;2020-12-07;16:59;M;47
